month_start,invoices,invoiced,paid,failed_payment_exposure,refunded,recognized,deferred,variance
2023-01-01,17,54743.25,54743.25,0.0,337.73,54743.25,0.0,0.0
2023-02-01,55,173378.4,140669.25,32709.15,2346.75,173378.4,0.0,0.0
2023-03-01,83,216666.86,216198.86,468.0,515.48,216666.86,0.0,0.0
2023-04-01,113,266760.43,261490.38,5270.05,268.6,266760.43,0.0,0.0
2023-05-01,141,342084.2,323272.84,18811.36,2808.9,342084.2,0.0,0.0
2023-06-01,160,368840.66,345319.41,23521.25,340.13,368840.66,0.0,0.0
2023-07-01,191,423532.58,404785.47,18747.11,5248.42,423532.58,0.0,0.0
2023-08-01,220,485101.69,459542.12,25559.57,58.5,485101.69,0.0,0.0
2023-09-01,242,527323.91,515673.26,11650.65,842.65,527323.91,0.0,0.0
2023-10-01,267,575330.68,569455.38,5875.3,344.44,575330.68,0.0,0.0
2023-11-01,282,602450.79,594870.58,7580.21,526.61,602450.79,0.0,0.0
2023-12-01,307,628549.58,581311.68,47237.9,171.59,628549.58,0.0,0.0
2024-01-01,343,728305.67,710630.32,17675.35,597.33,728305.67,0.0,0.0
2024-02-01,375,853639.82,847685.47,5954.35,7715.17,853639.82,0.0,0.0
2024-03-01,398,925774.34,885353.73,40420.61,1037.38,925774.34,0.0,0.0
2024-04-01,427,963303.41,920600.96,42702.45,3055.78,963303.41,0.0,0.0
2024-05-01,461,1035296.08,999458.27,35837.81,1345.33,1035296.08,0.0,0.0
2024-06-01,484,1078369.33,1064137.23,14232.1,4431.09,1078369.33,0.0,0.0
2024-07-01,517,1135310.41,1088058.84,47251.57,4491.54,1135310.41,0.0,0.0
2024-08-01,546,1202222.15,1180635.6,21586.55,2623.88,1202222.15,0.0,0.0
2024-09-01,570,1306283.29,1266537.02,39746.27,818.34,1306283.29,0.0,0.0
2024-10-01,602,1344199.42,1315654.58,28544.84,2020.89,1344199.42,0.0,0.0
2024-11-01,623,1420028.91,1354810.32,65218.59,1979.46,1420028.91,0.0,0.0
2024-12-01,643,1493864.67,1438999.99,54864.68,3128.95,1493864.67,0.0,0.0
2025-01-01,664,1533417.45,1482774.66,50642.79,3527.63,1533417.45,0.0,0.0
2025-02-01,673,1574017.04,1516507.46,57509.58,3103.44,1574017.04,0.0,0.0
2025-03-01,693,1658505.19,1552205.0,106300.19,937.7,1658505.19,0.0,0.0
2025-04-01,707,1700831.06,1623097.95,77733.11,3371.91,1700831.06,0.0,0.0
2025-05-01,742,1794919.85,1708427.76,86492.09,2127.89,1794919.85,0.0,0.0
2025-06-01,764,1882383.45,1852011.11,30372.34,7983.01,1882383.45,0.0,0.0
2025-07-01,788,1940601.77,1872092.6,68509.17,4030.07,1940601.77,0.0,0.0
2025-08-01,813,2005283.94,1925068.22,80215.72,1245.69,2005283.94,0.0,0.0
2025-09-01,830,2054667.38,1960821.05,93846.33,9306.23,2054667.38,0.0,0.0
2025-10-01,855,2130279.09,2019057.34,111221.75,9063.56,2130279.09,0.0,0.0
2025-11-01,864,2176914.53,2143263.61,33650.92,7506.84,2176914.53,0.0,0.0
2025-12-01,888,2259102.98,2205381.15,53721.83,11112.32,2259102.98,0.0,0.0
