invoice_id,exception_type,severity,invoice_date,customer_id,billed_amount
INV00000001,contract_date_conflict,medium,2024-05-01,C000001,7450.0
INV00000021,contract_date_conflict,medium,2025-08-01,C000003,259.35
INV00000026,contract_date_conflict,medium,2025-01-01,C000004,198.9
INV00000038,contract_date_conflict,medium,2023-08-01,C000005,273.0
INV00000067,contract_date_conflict,medium,2024-11-01,C000006,1275.85
INV00000081,contract_date_conflict,medium,2025-01-01,C000008,2026.35
INV00000093,contract_date_conflict,medium,2024-05-01,C000009,1422.0
INV00000113,contract_date_conflict,medium,2024-08-01,C000010,1185.0
INV00000130,contract_date_conflict,medium,2025-01-01,C000013,156.0
INV00000142,contract_date_conflict,medium,2025-10-01,C000014,185.25
INV00000145,contract_date_conflict,medium,2024-05-01,C000015,7509.6
INV00000165,contract_date_conflict,medium,2025-03-01,C000016,312.0
INV00000174,contract_date_conflict,medium,2024-02-01,C000017,351.0
INV00000197,contract_date_conflict,medium,2024-06-01,C000018,195.0
INV00000216,contract_date_conflict,medium,2023-02-01,C000019,9387.0
INV00000256,contract_date_conflict,medium,2024-09-01,C000021,17135.0
INV00000272,contract_date_conflict,medium,2023-04-01,C000022,2449.0
INV00000283,contract_date_conflict,medium,2023-10-01,C000023,1580.0
INV00000292,contract_date_conflict,medium,2024-02-01,C000024,234.0
INV00000315,contract_date_conflict,medium,2025-07-01,C000025,11026.0
INV00000321,contract_date_conflict,medium,2024-03-01,C000026,210.6
INV00000343,contract_date_conflict,medium,2024-10-01,C000027,195.0
INV00000358,contract_date_conflict,medium,2023-04-01,C000028,1975.0
INV00000389,contract_date_conflict,medium,2023-08-01,C000029,1817.0
INV00000418,contract_date_conflict,medium,2025-06-01,C000030,234.0
INV00000458,contract_date_conflict,medium,2024-07-01,C000032,234.0
INV00000476,contract_date_conflict,medium,2023-11-01,C000033,195.0
INV00000502,contract_date_conflict,medium,2023-04-01,C000034,195.0
INV00000535,contract_date_conflict,medium,2025-08-01,C000035,234.0
INV00000540,contract_date_conflict,medium,2024-03-01,C000037,1141.55
INV00000562,contract_date_conflict,medium,2025-06-01,C000038,7450.0
INV00000569,contract_date_conflict,medium,2024-10-01,C000039,273.0
INV00000584,contract_date_conflict,medium,2025-08-01,C000040,222.3
INV00000589,contract_date_conflict,medium,2024-07-01,C000041,1896.0
INV00000607,contract_date_conflict,medium,2023-04-01,C000042,222.3
INV00000632,contract_date_conflict,medium,2023-07-01,C000043,195.0
INV00000662,contract_date_conflict,medium,2023-07-01,C000044,234.0
INV00000692,contract_date_conflict,medium,2023-03-01,C000046,2528.0
INV00000726,contract_date_conflict,medium,2024-04-01,C000047,2844.0
INV00000747,contract_date_conflict,medium,2023-03-01,C000048,1501.0
INV00000775,contract_date_conflict,medium,2023-02-01,C000049,265.2
INV00000810,contract_date_conflict,medium,2023-06-01,C000050,1208.7
INV00000841,contract_date_conflict,medium,2024-06-01,C000051,468.0
INV00000860,contract_date_conflict,medium,2025-03-01,C000052,6332.5
INV00000870,contract_date_conflict,medium,2024-08-01,C000053,1635.3
INV00000887,contract_date_conflict,medium,2024-07-01,C000054,234.0
INV00000905,contract_date_conflict,medium,2025-01-01,C000056,10757.8
INV00000917,contract_date_conflict,medium,2025-12-01,C000058,1919.7
INV00000918,contract_date_conflict,medium,2025-02-01,C000059,1501.0
INV00000929,contract_date_conflict,medium,2025-03-01,C000060,210.6
INV00000939,contract_date_conflict,medium,2023-04-01,C000061,1848.6
INV00000972,contract_date_conflict,medium,2025-10-01,C000063,165.75
INV00000975,contract_date_conflict,medium,2023-07-01,C000064,296.4
INV00001003,contract_date_conflict,medium,2023-08-01,C000068,273.0
INV00001032,contract_date_conflict,medium,2025-10-01,C000069,1350.9
INV00001035,contract_date_conflict,medium,2023-03-01,C000070,351.0
INV00001089,contract_date_conflict,medium,2025-10-01,C000072,8046.0
INV00001092,contract_date_conflict,medium,2023-01-01,C000073,1635.3
INV00001128,contract_date_conflict,medium,2023-10-01,C000074,7375.5
INV00001155,contract_date_conflict,medium,2023-05-01,C000075,2484.55
INV00001187,contract_date_conflict,medium,2025-07-01,C000077,165.75
INV00001193,contract_date_conflict,medium,2024-06-01,C000078,1919.7
INV00001212,contract_date_conflict,medium,2024-07-01,C000079,1066.5
INV00001230,contract_date_conflict,medium,2025-06-01,C000080,7450.0
INV00001237,contract_date_conflict,medium,2024-12-01,C000081,185.25
INV00001250,contract_date_conflict,medium,2025-08-01,C000082,210.6
INV00001255,contract_date_conflict,medium,2023-02-01,C000083,245.7
INV00001277,contract_date_conflict,medium,2025-01-01,C000084,222.3
INV00001289,contract_date_conflict,medium,2025-10-01,C000085,8046.0
INV00001292,contract_date_conflict,medium,2023-08-01,C000086,195.0
INV00001321,contract_date_conflict,medium,2023-07-01,C000087,8940.0
INV00001370,contract_date_conflict,medium,2025-01-01,C000090,1880.2
INV00001382,contract_date_conflict,medium,2023-05-01,C000091,245.7
INV00001412,contract_date_conflict,medium,2024-08-01,C000092,1564.2
INV00001429,contract_date_conflict,medium,2025-04-01,C000093,195.0
INV00001446,contract_date_conflict,medium,2023-12-01,C000095,1279.8
INV00001471,contract_date_conflict,medium,2025-01-01,C000097,1422.0
INV00001483,contract_date_conflict,medium,2025-08-01,C000098,8046.0
INV00001488,contract_date_conflict,medium,2024-05-01,C000099,7375.5
INV00001508,contract_date_conflict,medium,2023-07-01,C000100,1279.8
INV00001525,contract_date_conflict,medium,2025-07-01,C000101,9238.0
INV00001531,contract_date_conflict,medium,2024-12-01,C000102,15421.5
INV00001544,contract_date_conflict,medium,2025-08-01,C000104,175.5
INV00001549,contract_date_conflict,medium,2025-12-01,C000105,1501.0
INV00001550,contract_date_conflict,medium,2023-04-01,C000106,195.0
INV00001583,contract_date_conflict,medium,2023-06-01,C000107,1125.75
INV00001614,contract_date_conflict,medium,2024-07-01,C000108,1516.8
INV00001632,contract_date_conflict,medium,2025-12-01,C000109,948.0
INV00001633,contract_date_conflict,medium,2025-03-01,C000110,1422.0
INV00001643,contract_date_conflict,medium,2023-05-01,C000111,1200.8
INV00001675,contract_date_conflict,medium,2024-08-01,C000112,10579.0
INV00001692,contract_date_conflict,medium,2025-03-01,C000113,390.0
INV00001702,contract_date_conflict,medium,2024-10-01,C000114,1350.9
INV00001717,contract_date_conflict,medium,2023-01-01,C000115,386.1
INV00001735,contract_date_conflict,medium,2025-08-01,C000116,175.5
INV00001740,contract_date_conflict,medium,2024-12-01,C000117,11607.1
INV00001753,contract_date_conflict,medium,2024-04-01,C000118,1125.75
INV00001774,contract_date_conflict,medium,2024-10-01,C000119,1876.25
INV00001789,contract_date_conflict,medium,2023-04-01,C000121,6965.75
INV00001822,contract_date_conflict,medium,2025-11-01,C000122,1817.0
INV00001824,contract_date_conflict,medium,2023-11-01,C000123,175.5
INV00001850,contract_date_conflict,medium,2023-11-01,C000124,1185.0
INV00001876,contract_date_conflict,medium,2024-07-01,C000125,390.0
INV00001894,contract_date_conflict,medium,2025-03-01,C000130,185.25
INV00001921,contract_date_conflict,medium,2023-03-01,C000132,273.0
