month_start,month_label,component,component_order,value
2023-01-01,2023-01,opening_mrr,1,0.0
2023-01-01,2023-01,new_mrr,2,54743.25
2023-01-01,2023-01,expansion_mrr,3,0.0
2023-01-01,2023-01,reactivation_mrr,4,0.0
2023-01-01,2023-01,contraction_mrr,5,0.0
2023-01-01,2023-01,churned_mrr,6,0.0
2023-01-01,2023-01,closing_mrr,7,54743.25
2023-02-01,2023-02,opening_mrr,1,54743.25
2023-02-01,2023-02,new_mrr,2,118635.15
2023-02-01,2023-02,expansion_mrr,3,0.0
2023-02-01,2023-02,reactivation_mrr,4,0.0
2023-02-01,2023-02,contraction_mrr,5,0.0
2023-02-01,2023-02,churned_mrr,6,0.0
2023-02-01,2023-02,closing_mrr,7,173378.4
2023-03-01,2023-03,opening_mrr,1,173378.4
2023-03-01,2023-03,new_mrr,2,47009.6
2023-03-01,2023-03,expansion_mrr,3,3095.61
2023-03-01,2023-03,reactivation_mrr,4,0.0
2023-03-01,2023-03,contraction_mrr,5,-6816.75
2023-03-01,2023-03,churned_mrr,6,0.0
2023-03-01,2023-03,closing_mrr,7,216666.86
2023-04-01,2023-04,opening_mrr,1,216666.86
2023-04-01,2023-04,new_mrr,2,50077.45
2023-04-01,2023-04,expansion_mrr,3,411.12
2023-04-01,2023-04,reactivation_mrr,4,0.0
2023-04-01,2023-04,contraction_mrr,5,-395.0
2023-04-01,2023-04,churned_mrr,6,0.0
2023-04-01,2023-04,closing_mrr,7,266760.43
2023-05-01,2023-05,opening_mrr,1,266760.43
2023-05-01,2023-05,new_mrr,2,72664.85
2023-05-01,2023-05,expansion_mrr,3,3078.61
2023-05-01,2023-05,reactivation_mrr,4,0.0
2023-05-01,2023-05,contraction_mrr,5,-419.69
2023-05-01,2023-05,churned_mrr,6,0.0
2023-05-01,2023-05,closing_mrr,7,342084.2
2023-06-01,2023-06,opening_mrr,1,342084.2
2023-06-01,2023-06,new_mrr,2,27209.25
2023-06-01,2023-06,expansion_mrr,3,2553.51
2023-06-01,2023-06,reactivation_mrr,4,0.0
2023-06-01,2023-06,contraction_mrr,5,-3006.3
2023-06-01,2023-06,churned_mrr,6,0.0
2023-06-01,2023-06,closing_mrr,7,368840.66
2023-07-01,2023-07,opening_mrr,1,368840.66
2023-07-01,2023-07,new_mrr,2,52774.5
