month_start,segment,plan_name,acquisition_channel,opening_mrr,new_mrr,expansion_mrr,reactivation_mrr,contraction_mrr,churned_mrr,closing_mrr
2023-01-01,enterprise,Starter,Events,0.0,468.0,0.0,0.0,0.0,0.0,468.0
2023-01-01,mid-market,Enterprise,Organic,0.0,11040.9,0.0,0.0,0.0,0.0,11040.9
2023-01-01,mid-market,Enterprise,Partner,0.0,17641.6,0.0,0.0,0.0,0.0,17641.6
2023-01-01,mid-market,Growth,Events,0.0,2899.3,0.0,0.0,0.0,0.0,2899.3
2023-01-01,mid-market,Growth,Paid Search,0.0,1185.0,0.0,0.0,0.0,0.0,1185.0
2023-01-01,smb,Enterprise,Paid Search,0.0,11398.5,0.0,0.0,0.0,0.0,11398.5
2023-01-01,smb,Growth,Events,0.0,948.0,0.0,0.0,0.0,0.0,948.0
2023-01-01,smb,Growth,Organic,0.0,2061.9,0.0,0.0,0.0,0.0,2061.9
2023-01-01,smb,Growth,Paid Search,0.0,4668.9,0.0,0.0,0.0,0.0,4668.9
2023-01-01,smb,Growth,Partner,0.0,1501.0,0.0,0.0,0.0,0.0,1501.0
2023-01-01,smb,Starter,Events,0.0,631.8,0.0,0.0,0.0,0.0,631.8
2023-01-01,smb,Starter,Paid Search,0.0,298.35,0.0,0.0,0.0,0.0,298.35
2023-02-01,enterprise,Growth,Organic,0.0,948.0,0.0,0.0,0.0,0.0,948.0
2023-02-01,enterprise,Starter,Events,468.0,222.3,0.0,0.0,0.0,0.0,690.3
2023-02-01,enterprise,Starter,Outbound,0.0,245.7,0.0,0.0,0.0,0.0,245.7
2023-02-01,enterprise,Starter,Paid Search,0.0,195.0,0.0,0.0,0.0,0.0,195.0
2023-02-01,mid-market,Enterprise,Events,0.0,27267.0,0.0,0.0,0.0,0.0,27267.0
2023-02-01,mid-market,Enterprise,Organic,11040.9,0.0,0.0,0.0,0.0,0.0,11040.9
2023-02-01,mid-market,Enterprise,Outbound,0.0,7450.0,0.0,0.0,0.0,0.0,7450.0
2023-02-01,mid-market,Enterprise,Partner,17641.6,0.0,0.0,0.0,0.0,0.0,17641.6
