decile,accounts,churned,churn_rate,lift
D01,306,7,0.02287581699346405,1.2057133198106826
D02,306,14,0.0457516339869281,2.4114266396213653
D03,306,6,0.0196078431372549,1.033468559837728
D04,305,5,0.01639344262295082,0.8640474844544941
D05,306,13,0.042483660130718956,2.239181879648411
D06,306,3,0.00980392156862745,0.516734279918864
D07,305,2,0.006557377049180328,0.3456189937817976
D08,306,0,0.0,0.0
D09,306,5,0.016339869281045753,0.8612237998647735
D10,305,3,0.009836065573770493,0.5184284906726965
