threshold,queue_size,precision,recall
0.01,2902,0.019641626464507237,0.9827586206896551
0.02,1767,0.027164685908319185,0.8275862068965517
0.03,892,0.02914798206278027,0.4482758620689655
0.04,419,0.028639618138424822,0.20689655172413793
0.05,149,0.040268456375838924,0.10344827586206896
0.06,58,0.05172413793103448,0.05172413793103448
0.07,18,0.0,0.0
0.08,6,0.0,0.0
0.09,1,0.0,0.0
0.1,0,,0.0
0.11,0,,0.0
0.12,0,,0.0
0.13,0,,0.0
0.14,0,,0.0
0.15,0,,0.0
0.16,0,,0.0
0.17,0,,0.0
0.18,0,,0.0
0.19,0,,0.0
0.2,0,,0.0
